Model,Heating MSE,Heating R2,Cooling MSE,Cooling R2
Random Forest,0.24365214941558325,0.9976624146837404,3.0176409465584384,0.9674322152384441
Support Vector Machine,5.52546286547826,0.9469890132680527,7.7304946184251015,0.9165689062112018
Multiple Linear Regression,9.153207645941677,0.9121846294352438,9.89342764794407,0.8932255268607289
